exogenous variables,Metric,Value
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
End user energy consumtion(KWH),,
,MAE,5.950268260516906
,MSE,51.972315754396824
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
,MAE,5.963453291170394
,MSE,53.006467784366926
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
Grid feed-in Swiss transmission grid(KWH),,
,MAE,6.159132757954561
,MSE,56.408737914831235
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
Net outflow of the Swiss transmission grid(KWH),,
,MAE,6.0443823875835205
,MSE,54.67201005496987
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
Net outflow of the Swiss transmission grid(KWH),,
End user energy consumtion(KWH),,
,MAE,6.042542839956308
,MSE,53.95474822595021
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
Grid feed-in Swiss transmission grid(KWH),,
Net outflow of the Swiss transmission grid(KWH),,
,MAE,6.181120778820649
,MSE,57.02317726911454
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
Grid feed-in Swiss transmission grid(KWH),,
Net outflow of the Swiss transmission grid(KWH),,
End user energy consumtion(KWH),,
,MAE,6.0430153708754615
,MSE,53.82413347824357
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
,MAE,5.963453291170394
,MSE,53.006467784366926
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
,MAE,5.963453291170394
,MSE,53.006467784366926
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
,MAE,5.963453291170394
,MSE,21.34577246206887
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
,MAE,5.963453291170394
,MSE,53.006467784366926
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
,MAE,5.963453291170394
,MSE,21.34577246206887
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
,MAE,5.963453291170394
,MSE,53.006467784366926
Total energy production Swiss controlblock(KWH),,
Total energy consumption Swiss controlblock(KWH),,
Renewable Percentage,,
Low Carbon Percentage,,
,MAE,5.963453291170394
,MSE,21.34577246206887
